"","TEAM","MATCH UP","GAME DATE","W/L","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","BLK","TOV","PF","+/-","Ho_Aw"
"402","PHI","PHI vs. DET",2021-10-28,"W",240,110,38,76,50,12,27,44.4,22,24,91.7,6,40,46,22,7,9,21,23,8,"H"
"403","WAS","WAS vs. ATL",2021-10-28,"W",240,122,46,99,46.5,13,34,38.2,17,21,81,14,37,51,26,6,4,9,16,11,"H"
"404","ATL","ATL @ WAS",2021-10-28,"L",240,111,48,88,54.5,6,21,28.6,9,14,64.3,6,37,43,26,4,3,13,16,-11,"A"
"405","LAC","LAC vs. CLE",2021-10-27,"L",240,79,31,87,35.6,9,41,22,8,13,61.5,9,27,36,19,13,2,14,24,-13,"H"
"406","CLE","CLE @ LAC",2021-10-27,"W",240,92,33,81,40.7,3,20,15,23,27,85.2,14,43,57,12,9,3,21,14,13,"A"
"407","POR","POR vs. MEM",2021-10-27,"W",240,116,39,84,46.4,15,36,41.7,23,31,74.2,13,35,48,22,11,6,14,20,20,"H"
"408","MEM","MEM @ POR",2021-10-27,"L",240,96,35,96,36.5,17,50,34,9,19,47.4,21,29,50,27,9,3,22,25,-20,"A"
"409","SAC","SAC @ PHX",2021-10-27,"W",240,110,42,95,44.2,15,38,39.5,11,15,73.3,8,32,40,28,7,6,12,20,3,"A"
"410","PHX","PHX vs. SAC",2021-10-27,"L",240,107,42,93,45.2,6,22,27.3,17,24,70.8,14,42,56,23,6,6,11,16,-3,"H"
"411","LAL","LAL @ OKC",2021-10-27,"L",240,115,46,92,50,11,35,31.4,12,14,85.7,10,30,40,29,8,2,17,22,-8,"A"
"412","OKC","OKC vs. LAL",2021-10-27,"W",240,123,43,86,50,15,37,40.5,22,29,75.9,10,32,42,21,8,3,16,16,8,"H"
"413","BOS","BOS vs. WAS",2021-10-27,"L",240,107,37,85,43.5,10,29,34.5,23,28,82.1,10,27,37,18,9,5,13,21,-9,"H"
"414","WAS","WAS @ BOS",2021-10-27,"W",240,116,43,84,51.2,9,25,36,21,29,72.4,11,36,47,18,8,7,16,20,9,"A"
"415","MIN","MIN @ MIL",2021-10-27,"W",240,113,43,91,47.3,13,45,28.9,14,17,82.4,10,39,49,29,5,4,17,20,5,"A"
"416","MIL","MIL vs. MIN",2021-10-27,"L",240,108,39,95,41.1,14,51,27.5,16,21,76.2,13,30,43,22,10,3,9,18,-5,"H"
"417","TOR","TOR vs. IND",2021-10-27,"W",240,118,46,100,46,14,30,46.7,12,19,63.2,16,25,41,22,18,6,12,20,18,"H"
"418","IND","IND @ TOR",2021-10-27,"L",240,100,38,79,48.1,10,29,34.5,14,17,82.4,9,31,40,19,6,7,23,19,-18,"A"
"419","NOP","NOP vs. ATL",2021-10-27,"L",240,99,40,93,43,11,36,30.6,8,9,88.9,9,35,44,24,5,6,10,19,-3,"H"
"420","ATL","ATL @ NOP",2021-10-27,"W",240,102,40,96,41.7,8,30,26.7,14,17,82.4,21,34,55,21,4,4,11,14,3,"A"
"421","BKN","BKN vs. MIA",2021-10-27,"L",240,93,33,85,38.8,14,43,32.6,13,14,92.9,4,38,42,21,7,7,16,24,-13,"H"
"422","MIA","MIA @ BKN",2021-10-27,"W",240,106,38,96,39.6,8,29,27.6,22,26,84.6,17,45,62,21,6,2,15,19,13,"A"
"423","CHA","CHA @ ORL",2021-10-27,"W",240,120,43,83,51.8,14,30,46.7,20,24,83.3,10,30,40,22,14,4,17,14,9,"A"
"424","ORL","ORL vs. CHA",2021-10-27,"L",240,111,43,88,48.9,15,40,37.5,10,13,76.9,8,25,33,22,6,2,19,21,-9,"H"
"425","OKC","OKC vs. GSW",2021-10-26,"L",240,98,36,86,41.9,12,34,35.3,14,17,82.4,9,33,42,19,7,3,14,18,-8,"H"
"426","GSW","GSW @ OKC",2021-10-26,"W",240,106,39,83,47,14,40,35,14,18,77.8,7,39,46,30,9,8,15,20,8,"A"
"427","UTA","UTA vs. DEN",2021-10-26,"W",240,122,44,85,51.8,12,39,30.8,22,29,75.9,8,33,41,20,5,6,14,22,12,"H"
"428","DEN","DEN @ UTA",2021-10-26,"L",240,110,42,83,50.6,10,28,35.7,16,24,66.7,5,30,35,19,9,3,13,23,-12,"A"
"429","SAS","SAS vs. LAL",2021-10-26,"L",265,121,48,108,44.4,13,36,36.1,12,22,54.5,16,43,59,33,10,6,16,22,-4,"H"
"430","LAL","LAL @ SAS",2021-10-26,"W",265,125,50,105,47.6,8,30,26.7,17,22,77.3,9,47,56,20,8,10,13,21,4,"A"
